budget_ratio	B	sum_mu	offline_f_value	offline_eval_f_value	offline_queries	offline_memory_mb_est	offline_running_time_ms	focus_f_value	focus_eval_f_value	focus_queries	focus_memory_mb_est	focus_running_time_ms
0.01	20.2975170481	2029.75170481	868.30422	841.7276	1388383	10.9046087265	97.502667	796.16768	777.9114	7235843	43.5758857727	658.978125
0.02	40.5950340961	2029.75170481	1068.55784	1036.97286	1975644	10.9071760178	136.048542	984.62742	956.47559	8647995	47.1728858948	857.892125
0.03	60.8925511442	2029.75170481	1218.1624	1176.31836	2403892	10.9076452255	167.798709	1089.88376	1066.13444	9458826	49.3270492554	1029.786834
0.04	81.1900681922	2029.75170481	1343.29062	1286.8254	2743384	10.9080305099	191.941083	1235.934	1193.40333	10082621	51.1210975647	1073.148834
0.05	101.48758524	2029.75170481	1450.56646	1382.59009	3038832	10.9083738327	212.204459	1377.05666	1319.01623	10608749	52.5193748474	1149.583584
0.01	20.2975170481	2029.75170481	868.30422	841.7276	1388383	10.9046087265	95.329041	796.16768	777.9114	7235843	43.5758857727	644.822459
0.02	40.5950340961	2029.75170481	1068.55784	1036.97286	1975644	10.9071760178	135.444667	984.62742	956.47559	8647995	47.1728858948	846.899041
0.03	60.8925511442	2029.75170481	1218.1624	1176.31836	2403892	10.9076452255	176.421959	1089.88376	1066.13444	9458826	49.3270492554	1034.935583
0.04	81.1900681922	2029.75170481	1343.29062	1286.8254	2743384	10.9080305099	190.875083	1235.934	1193.40333	10082621	51.1210975647	1121.837291
0.05	101.48758524	2029.75170481	1450.56646	1382.59009	3038832	10.9083738327	214.404459	1377.05666	1319.01623	10608749	52.5193748474	1411.4805
0.01	20.2975170481	2029.75170481	868.30422	841.7276	1388383	10.9046087265	94.748542	796.16768	777.9114	343567	35.6143531799	109.908459
0.02	40.5950340961	2029.75170481	1068.55784	1036.97286	1975644	10.9071760178	135.657208	984.62742	956.47559	503235	38.6993865967	148.9845
0.03	60.8925511442	2029.75170481	1218.1624	1176.31836	2403892	10.9076452255	166.745292	1089.88376	1066.13444	625212	40.9657592773	178.590167
0.04	81.1900681922	2029.75170481	1343.29062	1286.8254	2743384	10.9080305099	190.658083	1235.934	1193.40333	729054	42.6088027954	199.073291
0.05	101.48758524	2029.75170481	1450.56646	1382.59009	3038832	10.9083738327	211.016583	1377.05666	1319.01623	817873	43.8841552734	214.005541
